                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0604,                 2.2809,                 1.2572,                0.57917,                0.66276,                0.60475,                0.24851,                 1.8732,                 2.0367,                 1.2474,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.9266,                 1.3113,                 1.2019,                 0.6436,                0.70064,                0.71198,                0.31795,                 1.7993,                 1.6299,                 1.2143,              0.0012691,              0.0012691,              0.0012691
                      3,                 1.8932,                  1.264,                 1.1929,                0.60255,                0.68589,                0.66455,                0.27853,                 1.8372,                 1.2781,                  1.217,              0.0018306,              0.0018306,              0.0018306
                      4,                 1.8934,                 1.2346,                 1.1835,                0.68186,                0.65983,                0.72249,                0.31292,                 1.9094,                 1.1823,                 1.2537,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.8953,                 1.2428,                 1.1921,                0.57912,                 0.6164,                0.61653,                0.23074,                  2.096,                 1.2499,                 1.3038,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.8482,                 1.1835,                 1.1683,                0.72252,                0.69766,                0.77729,                0.34527,                 1.8305,                 1.1644,                 1.2106,              0.0016832,              0.0016832,              0.0016832
                      7,                  1.842,                 1.1383,                 1.1589,                0.74013,                0.71694,                0.79187,                 0.3708,                 1.8098,                 1.0688,                 1.2104,               0.001604,               0.001604,               0.001604
                      8,                 1.8331,                 1.1276,                 1.1594,                0.73093,                 0.7267,                0.79747,                0.36773,                    1.8,                 1.0913,                 1.1843,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.8125,                 1.1207,                 1.1522,                0.75446,                 0.7168,                0.80057,                0.35914,                 1.8931,                 1.0545,                 1.2156,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.8029,                 1.0675,                 1.1468,                0.75746,                0.73463,                 0.8074,                0.36773,                 1.8316,                 1.0652,                 1.2036,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.8127,                 1.0835,                 1.1459,                0.71266,                0.71205,                0.76885,                0.35054,                  1.855,                  1.142,                 1.2086,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.7842,                 1.0678,                   1.15,                0.76124,                 0.7267,                0.80953,                 0.3742,                  1.806,                  1.028,                 1.1917,               0.001208,               0.001208,               0.001208
                     13,                 1.7788,                  1.057,                 1.1373,                0.76459,                0.75451,                 0.8335,                0.39005,                 1.7884,                 1.0017,                 1.1877,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.7691,                 1.0399,                 1.1318,                0.76852,                0.75671,                0.82774,                0.39115,                 1.7573,                0.98272,                 1.1745,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.7636,                 1.0288,                 1.1221,                0.78234,                0.73149,                0.83049,                0.38467,                 1.8068,                 1.0062,                 1.1889,              0.0009704,              0.0009704,              0.0009704
                     16,                   1.76,                 1.0333,                 1.1789,                0.77372,                0.76264,                0.84181,                0.40867,                 1.7636,                0.95385,                 1.1778,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.7548,                 1.0016,                 1.1701,                0.77217,                0.77079,                0.84106,                0.39745,                 1.7769,                0.97252,                 1.1775,               0.000812,               0.000812,               0.000812
                     18,                 1.7334,                0.97522,                 1.1734,                0.76946,                0.76232,                0.83548,                0.39494,                 1.7867,                0.97208,                 1.1797,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.7147,                0.97437,                 1.1628,                0.77294,                0.79743,                0.85418,                 0.4226,                 1.7268,                0.92396,                 1.1597,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.7197,                0.95838,                 1.1464,                0.77796,                0.77989,                0.84634,                0.41089,                 1.7443,                0.93376,                 1.1698,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.7105,                0.94866,                 1.1633,                0.79595,                0.77648,                0.85292,                0.40796,                 1.7776,                 0.9221,                 1.1773,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.7003,                 0.9286,                 1.1471,                0.79174,                0.78111,                0.86145,                0.42234,                 1.7449,                0.90827,                 1.1604,               0.000416,               0.000416,               0.000416
                     23,                 1.6923,                0.92398,                 1.1461,                 0.7864,                0.78429,                0.85301,                0.42375,                 1.7328,                0.90322,                  1.163,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.6734,                0.90229,                 1.1362,                0.79049,                0.78814,                0.85935,                0.42219,                 1.7421,                0.88829,                 1.1642,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.6668,                0.89554,                   1.14,                0.80564,                0.78282,                0.86286,                0.42569,                 1.7319,                0.88103,                 1.1599,              0.0001784,              0.0001784,              0.0001784
